BinNo,FloorNo,AisleNo,BayNo,BatchLotNo,StockCode,StockInHand,SumofStock,BinType,BinZone
S-B-19,S,B,19,ym90,YM90-PP,1.0,2.0,Null,B
7-B-19,7,B,19,SW40227,YMBY60S6,162.0,162.0,Null,Y
6-B-19,6,B,19,P06623-3,DCHEWL7,50.0,50.0,Null,P
S-C-19,S,C,19,SW40301,YMACT90-PP,3.0,5.0,PickFace,Z
S-C-19,S,C,19,SW40049,YMACT90-PP,2.0,5.0,Null,Y
5-C-19,5,C,19,SW40801,YMAX120,1474.0,1474.0,Goodsin,E
8-C-19,8,C,19,72722,YVY120,78.0,78.0,Null,K
4-C-19,4,C,19,108757SW,YDI500,348.0,348.0,Null,W
1-D-19,1,D,19,SW40906,YM30-PP,0.0,171.0,Goodsin,M
8-D-19,8,D,19,N968120241,IMOV01,360000.0,360000.0,Null,X
1-D-19,1,D,19,80422,YCCS30,171.0,171.0,Goodsin,B
5-D-19,5,D,19,SW41035,YM120-PAH,1344.0,1344.0,PickFace,N
1-D-19,1,D,19,SW40362,YM30-PP,0.0,171.0,Goodsin,G
5-E-19,5,E,19,104688SW,YSO500,654.0,654.0,Null,U
7-E-19,7,E,19,F163831,YMS120,1600.0,1600.0,Goodsin,A
5-A-20,5,A,20,SW41011,YMAV60,1905.0,1905.0,PickFace,X
4-A-20,4,A,20,SW35957,YMCL30,888.0,888.0,Goodsin,M
5-B-20,5,B,20,SW41052,YMBS150,968.0,968.0,Goodsin,I
6-B-20,6,B,20,YUMSW072922,YVA30,815.0,815.0,Null,N
1-B-20,1,B,20,F163110,YMP120,271.0,1033.0,Goodsin,C
4-B-20,4,B,20,SW40888,YM300,600.0,600.0,Null,R
1-B-20,1,B,20,F165549,YMP120,3.0,1033.0,Null,V
1-B-20,1,B,20,F165066,YMP120,318.0,1033.0,Goodsin,G
1-B-20,1,B,20,F164082,YMP120,1.0,1033.0,Null,Z
1-B-20,1,B,20,F164394,YMP120,113.0,1033.0,Null,Z
8-B-20,8,B,20,SW091622,YVA30S6,576.0,576.0,Null,C
1-B-20,1,B,20,F164146,YMP120,327.0,1033.0,Null,V
1-C-20,1,C,20,P06233-1,YMDS14MD,360.0,360.0,Goodsin,F
5-C-20,5,C,20,SW40818,YM120-PAH,1037.0,1037.0,Null,M
8-C-20,8,C,20,P01323-1,YMSS7MRS6,894.0,894.0,Goodsin,B
4-C-20,4,C,20,SW41036,YM300,1500.0,1500.0,Goodsin,H
4-D-20,4,D,20,SWF166770,YMP300,1037.0,1037.0,PickFace,U
5-D-20,5,D,20,SW40818,YM120-PAH,1339.0,1339.0,Null,Y
5-E-20,5,E,20,40821SW,YMB30,8539.0,8539.0,Goodsin,O
1-E-20,1,E,20,F164394,YMP120,475.0,475.0,Null,H
4-A-21,4,A,21,SW40655,YMAX120,260.0,260.0,PickFace,S
4-A-21,4,A,21,SW40888,YM300,0.0,260.0,PickFace,F
4-A-21,4,A,21,108675SW,YDI250,0.0,260.0,PickFace,N
7-B-21,7,B,21,SW091622,YVA30S6,192.0,192.0,Null,J
5-B-21,5,B,21,SW41035,YM120-PAH,0.0,0.0,Null,Y
4-B-21,4,B,21,108553SW,YDI500,1170.0,1170.0,Goodsin,K
4-C-21,4,C,21,108553SW,YDI500,1041.0,1041.0,PickFace,O
5-C-21,5,C,21,SW41035,YM120-PAH,810.0,810.0,Null,H
8-C-21,8,C,21,N968120241,IMOV01,360000.0,360000.0,Null,W
S-D-21,S,D,21,SW36008,YM300,2.0,1313.0,PickFace,L
S-D-21,S,D,21,SW40131,YM30-PP,4.0,1313.0,Goodsin,U
S-D-21,S,D,21,SW36018,YM30-PP,3.0,1313.0,PickFace,N
S-D-21,S,D,21,SW35980,YM30-PP,1302.0,1313.0,Goodsin,P
S-D-21,S,D,21,SW40155,YM30-PP,1.0,1313.0,Null,V
S-D-21,S,D,21,SW40228,YM30-PP,1.0,1313.0,Goodsin,Q
5-D-21,5,D,21,SW40801,YMAX120,282.0,282.0,PickFace,X
4-D-21,4,D,21,SW40935,YPH1800,150.0,150.0,PickFace,F
7-E-21,7,E,21,SWF164297,YMS120,1597.0,1597.0,PickFace,Z
8-A-22,8,A,22,SWF164297,YMS80-RET,168.0,168.0,Null,M
4-A-22,4,A,22,F163522,YMS120,100.0,100.0,Null,V
5-A-22,5,A,22,41039,YM60,1120.0,1120.0,Null,X
5-B-22,5,B,22,SW41035,YM120-PAH,1344.0,1344.0,Null,A
4-B-22,4,B,22,SW41036,YM300,1500.0,1500.0,PickFace,S
2-B-22,2,B,22,35621,YMAV270,231.0,231.0,Null,A
4-C-22,4,C,22,SW41036,YM300,1500.0,1500.0,Goodsin,X
1-C-22,1,C,22,52322,YMBY150,272.0,272.0,PickFace,Z
5-C-22,5,C,22,SW40370,YMAV120,60.0,60.0,Null,T
6-C-22,6,C,22,F162762SW,YMS120,84.0,84.0,Null,Q
8-D-22,8,D,22,P05123-1,YMSS7MRS6,261.0,261.0,Null,P
4-D-22,4,D,22,SW41071,YMPMB30,8640.0,8640.0,Goodsin,T
1-D-22,1,D,22,F164394,YMP60,1062.0,1062.0,Null,T
5-A-23,5,A,23,SW40802,YMSM120,364.0,364.0,PickFace,V
4-A-23,4,A,23,108757SW,YDI500,198.0,198.0,PickFace,A
5-B-23,5,B,23,F167171,YMS120-RET,0.0,0.0,Null,E
4-B-23,4,B,23,108553SW,YDI500,1170.0,1170.0,Null,S
S-B-23,S,B,23,F164146,YMP90-SFO,198.0,409.0,PickFace,E
1-B-23,1,B,23,SWF165068,YMP60,2475.0,3200.0,Null,G
1-B-23,1,B,23,F164394,YMP60,715.0,3200.0,Null,K
1-B-23,1,B,23,F164211,YMP60,1.0,3200.0,PickFace,P
1-B-23,1,B,23,F164146,YMP60,3.0,3200.0,Null,E
1-B-23,1,B,23,F164082,YMP60,1.0,3200.0,PickFace,Z
1-B-23,1,B,23,F163109,YMP60,2.0,3200.0,Goodsin,Q
1-B-23,1,B,23,F163834,YMP60,2.0,3200.0,Goodsin,E
7-B-23,7,B,23,SW35955,YM80-RET,228.0,228.0,Goodsin,K
S-B-23,S,B,23,F163192,YMP90-SFO,211.0,409.0,Null,R
1-B-23,1,B,23,F163373,YMP60,1.0,3200.0,Goodsin,E
S-C-23,S,C,23,SW40301,YMACT30-PP,111.0,111.0,Goodsin,O
7-C-23,7,C,23,F163831,YMS120,1540.0,1540.0,PickFace,A
8-C-23,8,C,23,N968120241,IMOV01,360000.0,360000.0,Goodsin,F
5-D-23,5,D,23,F167171,YMS120-RET,1680.0,1680.0,Null,F
4-D-23,4,D,23,108553SW,YDI500,1170.0,1170.0,PickFace,R
8-D-23,8,D,23,N968120241,IMOV01,360000.0,360000.0,Null,W
1-E-23,1,E,23,F164393,YMP60,1.0,2276.0,PickFace,Z
1-E-23,1,E,23,F164146,YMP60,1.0,2276.0,Null,G
1-E-23,1,E,23,F163834,YMP60,2273.0,2276.0,Null,S
1-E-23,1,E,23,F164394,YMP60,1.0,2276.0,Null,R
7-E-23,7,E,23,SWF164297,YMS120,1417.0,1417.0,PickFace,M
4-E-23,4,E,23,SW40594,YM120,66.0,66.0,Goodsin,I
8-E-23,8,E,23,N968120241,IMOV01,360000.0,360000.0,Goodsin,V
5-A-24,5,A,24,SW41077,YMSC60,60.0,60.0,PickFace,H
4-A-24,4,A,24,SW40888,YM300,1500.0,1500.0,Null,W
1-B-24,1,B,24,102122,YMBS150,1.0,1.0,Null,Q
6-B-24,6,B,24,P06623-1,DCHEWL7,1600.0,1600.0,Null,C
S-B-24,S,B,24,F163192,YMP120-SFO,421.0,421.0,PickFace,V
8-B-24,8,B,24,SW35955,YMS120S6,96.0,96.0,Goodsin,Y
4-B-24,4,B,24,108757SW,YDI500,0.0,0.0,PickFace,X
5-B-24,5,B,24,SWF167346,YMS240-RET,998.0,998.0,Null,H
4-C-24,4,C,24,SW40935,YPH1800,40.0,40.0,PickFace,K
5-C-24,5,C,24,SWF167494,YMS240-RET,998.0,998.0,PickFace,M
8-D-24,8,D,24,SW35864,YMCM30,416.0,416.0,Null,S
4-A-25,4,A,25,F163831,YMS120,300.0,420.0,PickFace,A
4-A-25,4,A,25,F163522,YMS120,120.0,420.0,Null,K
5-B-25,5,B,25,L107413SW,YDM500,528.0,528.0,PickFace,N
8-B-25,8,B,25,F163522,YMS80-RET,222.0,222.0,PickFace,A
6-B-25,6,B,25,P05123-1,YMSS7MR,160.0,160.0,Goodsin,N
8-C-25,8,C,25,SW091622,YVA30S6,1152.0,1152.0,PickFace,H
5-D-25,5,D,25,SW40746,YM120-PAH,44.0,44.0,Goodsin,M
8-D-25,8,D,25,SW091622,YVA30S6,1152.0,1152.0,PickFace,K
4-D-25,4,D,25,11123,YCCL30,1050.0,1050.0,Null,S
8-E-25,8,E,25,N968120241,IMOV01,360000.0,360000.0,Goodsin,A
7-E-25,7,E,25,SWF164297,YMS120,1597.0,1597.0,Null,R
6-A-26,6,A,26,SW40248,YMAV270EU,13.0,13.0,Goodsin,B
7-A-26,7,A,26,SW40812,YM400,380.0,380.0,PickFace,N
4-A-26,4,A,26,SW41005,YMCS30,582.0,582.0,Goodsin,Z
5-A-26,5,A,26,SW41010,YMC60-PAH,1278.0,1278.0,PickFace,A
5-B-26,5,B,26,SW40827,YM400,270.0,270.0,Null,H
4-B-26,4,B,26,108553SW,YDI500,1170.0,1170.0,PickFace,F
8-B-26,8,B,26,P04523-3,YMSS7SRS8,992.0,992.0,PickFace,Y
7-C-26,7,C,26,P32722-1,DCHEWL7,325.0,325.0,Null,V
8-C-26,8,C,26,N968112870,IMOV01,60000.0,60000.0,Goodsin,K
8-c-26,8,C,26,102243SW,YSO500S6,500.0,500.0,Goodsin,L
4-C-26,4,C,26,SW41071,YMPMB30,8640.0,8640.0,Goodsin,N
5-C-26,5,C,26,107923SW,YSO500,1170.0,1170.0,PickFace,N
4-D-26,4,D,26,SW41071,YMPMB30,6865.0,6865.0,Null,D
8-E-26,8,E,26,N968111520,IMOV01,360000.0,360000.0,PickFace,M
4-A-27,4,A,27,SWF164297,YMS120-RET,156.0,156.0,PickFace,Q
5-A-27,5,A,27,L108060SW,YDM500,156.0,156.0,Null,H
8-B-27,8,B,27,SW052322,YMBY60S6,282.0,282.0,PickFace,G
4-C-27,4,C,27,SW41187,YMPMB30,8640.0,8640.0,PickFace,K
7-C-27,7,C,27,F163831,YMS120,1600.0,1600.0,Null,D
5-D-27,5,D,27,SWF165068,YMPB30,9900.0,9900.0,PickFace,L
8-D-27,8,D,27,N968120240,IMOV01,360000.0,360000.0,PickFace,A
8-E-27,8,E,27,N968120240,IMOV01,360000.0,360000.0,Goodsin,W
6-A-28,6,A,28,SW40280,YMAVC60EU,12.0,12.0,Null,C
5-A-28,5,A,28,SW40254,YUCA60-PAH,56.0,56.0,Goodsin,U
4-A-28,4,A,28,91422,YVY120,744.0,744.0,PickFace,K
4-A-28,4,A,28,SW40903,YMC60,0.0,744.0,Goodsin,D
8-B-28,8,B,28,SW35832,YMCS30S4,108.0,108.0,Goodsin,L
5-B-28,5,B,28,SW41054,YMBS150,978.0,978.0,Goodsin,J
4-C-28,4,C,28,SW41071,YMPMB30,8640.0,8640.0,Goodsin,Y
5-C-28,5,C,28,105802SW,YSO500,222.0,222.0,Goodsin,S
8-C-28,8,C,28,N968111520,IMOV01,360000.0,360000.0,Null,E
7-C-28,7,C,28,P34822-2,YMSS7LRS5,140.0,140.0,Null,U
4-D-28,4,D,28,SW41071,YMPMB30,8640.0,9039.0,Goodsin,B
5-D-28,5,D,28,105802SW,YSO500,1170.0,1170.0,Goodsin,E
7-D-28,7,D,28,104688SW,YSO500S6,330.0,330.0,Goodsin,L
8-D-28,8,D,28,N968111520,IMOV01,40000.0,40000.0,Null,V
4-D-28,4,D,28,SW41005,YMCS30,399.0,9039.0,PickFace,S
4-A-29,4,A,29,SW35796,YMCM30,90.0,90.0,PickFace,E
5-A-29,5,A,29,SW40635,YUDP6-PAH,1062.0,1062.0,Null,U
8-A-29,8,A,29,YUMSW091422,YVY30S6,1140.0,1140.0,Goodsin,J
5-B-29,5,B,29,L108060SW,YDM500,0.0,0.0,Goodsin,I
7-B-29,7,B,29,SW032522,YVA30S6,846.0,846.0,PickFace,Y
7-C-29,7,C,29,P34822-2,YMSS7LRS5,540.0,540.0,Goodsin,M
4-C-29,4,C,29,SW41187,YMPMB30,7682.0,7682.0,Goodsin,O
8-C-29,8,C,29,P29922-2,YMSS7SRS8,496.0,496.0,PickFace,G
8-D-29,8,D,29,SW091622,YVA30S6,1152.0,1152.0,Null,N
5-D-29,5,D,29,SWF165068,YMPB30,9900.0,9900.0,Null,S
8-E-29,8,E,29,91422,YVY120,516.0,516.0,PickFace,F
5-A-30,5,A,30,SW41196,YMBAV90,275.0,275.0,Goodsin,X
4-A-30,4,A,30,SW40976,YMAV120,1200.0,1200.0,Null,A
8-B-30,8,B,30,P34822-3,YMSS7MRS6,600.0,600.0,Goodsin,Q
5-B-30,5,B,30,F167839,YMS80-RET,1082.0,1082.0,Null,N
6-C-30,6,C,30,P00623-3,YMSS7LR,1280.0,1280.0,Null,T
8-C-30,8,C,30,P04823-1,YMSS7LRS5,495.0,495.0,Goodsin,K
5-C-30,5,C,30,107923SW,YSO500,114.0,114.0,PickFace,O
4-C-30,4,C,30,SW41071,YMPMB30,8610.0,8610.0,PickFace,B
8-D-30,8,D,30,SW042122,YVS30S6,606.0,606.0,Null,G
5-D-30,5,D,30,105802SW,YSO500,1170.0,1170.0,Goodsin,G
8-E-30,8,E,30,NDFNZ11354,HOKI01,540000.0,540000.0,Goodsin,E
8-A-31,8,A,31,YUMSW091422,YVY30S6,516.0,516.0,Null,X
4-A-31,4,A,31,SWF166232,YMS240,940.0,940.0,PickFace,P
5-A-31,5,A,31,F164145,IMOVE60,78.0,78.0,PickFace,U
7-B-31,7,B,31,SW40038,YUDI120-RET,6.0,6.0,PickFace,T
8-B-31,8,B,31,SW100422,YVS30S6,480.0,480.0,Goodsin,M
7-C-31,7,C,31,P34822-2,YMSS7LRS5,460.0,460.0,Null,X
6-C-31,6,C,31,SW40227,YMBY60,6.0,6.0,Goodsin,B
8-D-31,8,D,31,N968120240,IMOV01,360000.0,360000.0,Null,E
5-D-31,5,D,31,SWF165068,YMPB30,5457.0,5457.0,Null,G
4-D-31,4,D,31,SWF166232,YMS240,1600.0,1600.0,PickFace,Z
8-E-31,8,E,31,N968111520,IMOV01,360000.0,360000.0,Goodsin,A
4-A-32,4,A,32,108689SW,YDC50,799.0,799.0,Null,O
5-A-32,5,A,32,SWF164297,YMS120,152.0,152.0,Goodsin,S
5-B-32,5,B,32,SW41031,YMAX120,1700.0,1700.0,Null,N
5-C-32,5,C,32,SW41031,YMAX120,251.0,251.0,Null,W
8-C-32,8,C,32,SW35937,YMBA60S6,252.0,252.0,PickFace,U
6-D-32,6,D,32,P00923-2,YMSS7LR,1298.0,1298.0,Null,P
8-E-32,8,E,32,N968111520,IMOV01,360000.0,360000.0,Null,I
4-A-33,4,A,33,SW40457,YUCC01-RET,493.0,493.0,Null,B
5-A-33,5,A,33,SW41037,YMAV270,920.0,920.0,Null,I
7-A-33,7,A,33,SW40776,YMC60-PAH,30.0,30.0,Goodsin,J
4-B-33,4,B,33,F163833,IMOVEB,17280.0,17280.0,Goodsin,I
6-B-33,6,B,33,P06723-2,DCHEWL7,1600.0,1600.0,Null,H
5-B-33,5,B,33,SW40964,YM60-PAH,1728.0,1728.0,Null,A
4-C-33,4,C,33,SWF166232,YMS240,1600.0,1600.0,Goodsin,Y
5-C-33,5,C,33,SWF165068,YMPB30,9900.0,9900.0,Null,L
7-C-33,7,C,33,P34822-3,YMSS7MRS6,960.0,960.0,Null,A
8-D-33,8,D,33,N968120240,IMOV01,360000.0,360000.0,Goodsin,I
4-D-33,4,D,33,SWF166232,YMS240,1600.0,1600.0,Goodsin,H
4-E-33,4,E,33,F164145,IMOVE60,3240.0,3240.0,Goodsin,W
5-A-34,5,A,34,SW40824,YMACT240,264.0,264.0,Goodsin,J
6-A-34,6,A,34,103026SW,YSO500,1092.0,1092.0,Goodsin,J
4-A-34,4,A,34,SW40653,YMBA150,192.0,192.0,PickFace,O
5-B-34,5,B,34,SW40824,YMACT240,384.0,384.0,Goodsin,S
5-C-34,5,C,34,103026SW,YSO500,1200.0,1200.0,PickFace,N
4-C-34,4,C,34,SW40782,YMACT240,1786.0,1786.0,Goodsin,L
8-D-34,8,D,34,N968120240,IMOV01,360000.0,360000.0,PickFace,I
6-D-34,6,D,34,P00923-2,YMSS7LR,700.0,700.0,Null,G
4-D-34,4,D,34,SW40483,YMC60-PAH,16.0,16.0,Goodsin,G
5-E-34,5,E,34,103026SW,YSO500,1200.0,1200.0,Goodsin,H
8-E-34,8,E,34,A(14884-1175)EG/7,VITE01,160000.0,160000.0,Goodsin,A
8-A-35,8,A,35,SW091622,YVA30S6,324.0,324.0,Goodsin,Q
5-A-35,5,A,35,SW40799,YMBA60,4.0,4.0,Null,Z
4-A-35,4,A,35,SW41078,YUCC01,0.0,96.0,Goodsin,D
4-A-35,4,A,35,SW40913,YPCS30,96.0,96.0,PickFace,J
5-B-35,5,B,35,SW40964,YM60-PAH,593.0,593.0,Null,T
6-B-35,6,B,35,SW070722,YVS30S6,744.0,744.0,Null,G
8-B-35,8,B,35,F162762SW,YMS120S6,36.0,36.0,Goodsin,R
4-C-35,4,C,35,SWF166232,YMS240,1600.0,1600.0,Goodsin,A
5-C-35,5,C,35,SWF165068,YMPB30,9900.0,9900.0,Goodsin,Z
4-D-35,4,D,35,YUMSW072922,YVA30,1206.0,1206.0,Goodsin,B
8-D-35,8,D,35,N968111520,IMOV01,360000.0,360000.0,Goodsin,U
7-E-35,7,E,35,20923,YVS120,864.0,864.0,PickFace,D
8-E-35,8,E,35,N968112870,IMOV01,360000.0,360000.0,Null,G
5-A-36,5,A,36,SW072722,YVY30,42.0,96.0,Goodsin,S
4-A-36,4,A,36,10923,YCCS30,570.0,570.0,Null,G
5-A-36,5,A,36,SW052722,YVY30,54.0,96.0,Null,M
7-A-36,7,A,36,F163522,YMS120,1040.0,1040.0,Goodsin,P
8-C-36,8,C,36,F162762SW,YMS120S6,198.0,198.0,PickFace,J
8-E-36,8,E,36,A(14884-1175)EG/7,VITE01,120000.0,120000.0,Goodsin,D
8-A-37,8,A,37,SW35752,YM120-PAH,5.0,358.0,PickFace,X
8-A-37,8,A,37,51321,YMBA150,7.0,358.0,Goodsin,A
8-A-37,8,A,37,35311,YMAV270,10.0,358.0,Goodsin,X
8-A-37,8,A,37,35053,YM300,20.0,358.0,PickFace,W
8-A-37,8,A,37,F156731,YM120G,50.0,358.0,Null,B
8-A-37,8,A,37,SW35837,YM120-PAH,6.0,358.0,Goodsin,K
8-A-37,8,A,37,SW35449,YUDP6,20.0,358.0,PickFace,O
8-A-37,8,A,37,35655,YMWD-480,1.0,358.0,Null,E
8-A-37,8,A,37,F152737,YM120,20.0,358.0,PickFace,S
4-A-37,4,A,37,40914,YMSC60-RET,4.0,1823.0,Null,O
8-A-37,8,A,37,SW35971,YMSC60,20.0,358.0,Null,A
8-A-37,8,A,37,F163134,YMS120-RET,6.0,358.0,Goodsin,A
8-A-37,8,A,37,162377,YMS120-RET,12.0,358.0,Goodsin,O
8-A-37,8,A,37,F162339,YMS120,3.0,358.0,Null,Z
8-A-37,8,A,37,F163109,YMP60,1.0,358.0,Goodsin,Y
8-A-37,8,A,37,F164083,YMP120,20.0,358.0,Goodsin,A
8-A-37,8,A,37,P31922-2,YMDS14MD,3.0,358.0,Goodsin,K
8-A-37,8,A,37,SW35940,YMCS30,6.0,358.0,PickFace,C
5-A-37,5,A,37,40819,YM60-PAH,4.0,4.0,Null,U
8-A-37,8,A,37,F156811,YM60,20.0,358.0,Null,B
8-A-37,8,A,37,51821,YMBS150,7.0,358.0,PickFace,G
8-A-37,8,A,37,102122,YMCM30,6.0,358.0,PickFace,O
8-A-37,8,A,37,SW36035,YM120,40.0,358.0,PickFace,D
7-A-37,7,A,37,SW40335,YMACT60,148.0,148.0,Goodsin,W
8-A-37,8,A,37,P313522-1,DCHEWM7,1.0,358.0,Null,W
8-A-37,8,A,37,F162665,IMOVE60,54.0,358.0,Goodsin,F
4-A-37,4,A,37,40909,YPCM30,1819.0,1823.0,Null,B
8-A-37,8,A,37,154608,YMS120G,20.0,358.0,Null,Q
6-B-37,6,B,37,SW091422,YVY30S6,1002.0,1002.0,Null,N
5-C-37,5,C,37,SWF165068,YMPB30,1386.0,1386.0,Goodsin,Y
7-C-37,7,C,37,91622,YVA30,273.0,273.0,Goodsin,E
7-D-37,7,D,37,SW40648,YMC60-PAH,50.0,50.0,PickFace,M
8-D-37,8,D,37,N968112870,IMOV01,20000.0,300000.0,Null,J
8-D-37,8,D,37,N968120240,IMOV01,280000.0,300000.0,Goodsin,W
8-E-37,8,E,37,N968111520,IMOV01,360000.0,360000.0,Goodsin,A
7-E-37,7,E,37,F162613SW,YMS120,20.0,20.0,Null,W
7-A-38,7,A,38,SWF164297,YMS120-RET,576.0,576.0,Null,C
8-A-38,8,A,38,SW35834,YMCL30S4,368.0,368.0,Null,X
4-A-38,4,A,38,11123,YCCL30,0.0,0.0,PickFace,S
5-A-38,5,A,38,P01923-1,YMDS14MR,12.0,12.0,PickFace,V
8-B-38,8,B,38,F163522,YMS120,1220.0,1220.0,Null,U
4-B-38,4,B,38,11023,YCCM30,1284.0,1284.0,Goodsin,X
6-C-38,6,C,38,P00923-1,YMSS7MR,1800.0,1800.0,Null,F
7-D-38,7,D,38,20923,YVS120,864.0,864.0,PickFace,K
8-D-38,8,D,38,N968120240,IMOV01,360000.0,360000.0,PickFace,T
8-E-38,8,E,38,N968111520,IMOV01,360000.0,720000.0,Null,T
8-E-38,8,E,38,N968120240,IMOV01,360000.0,720000.0,Null,E
5-A-39,5,A,39,P01023-1,YMSS7SR,8.0,8.0,Goodsin,Y
7-A-39,7,A,39,35718,PDC60,111.0,111.0,PickFace,T
8-B-39,8,B,39,SW40153,YM120S6,24.0,24.0,PickFace,D
6-B-39,6,B,39,SW100422,YVS30S6,1260.0,1260.0,Null,C
4-B-39,4,B,39,YUMSW072922,YVA30,18.0,18.0,PickFace,Z
5-C-39,5,C,39,SWF165068,YMPB30,9900.0,9900.0,PickFace,G
8-C-39,8,C,39,N968120240,IMOV01,360000.0,360000.0,PickFace,K
6-D-39,6,D,39,P02023-1,DCHEWL7,100.0,100.0,PickFace,R
8-D-39,8,D,39,N968111520,IMOV01,360000.0,360000.0,PickFace,T
8-E-39,8,E,39,N968120240,IMOV01,360000.0,360000.0,PickFace,E
7-A-40,7,A,40,SW166232,YMS240-RET,556.0,556.0,Null,K
5-A-40,5,A,40,SW40818,YM120-PAH,1.0,1.0,Null,Z
4-A-40,4,A,40,11023,YCCM30,90.0,90.0,PickFace,R
7-B-40,7,B,40,SW091422,YVY30S6,600.0,600.0,Goodsin,M
8-B-40,8,B,40,SW35864,YMCM30,414.0,414.0,Null,S
4-C-40,4,C,40,F164145,IMOVE60,2240.0,2240.0,Goodsin,L
7-C-40,7,C,40,SW091422,YVY30S6,1152.0,1152.0,Null,P
8-C-40,8,C,40,F162762SW,YMS120S6,300.0,300.0,PickFace,X
8-D-40,8,D,40,N968111520,IMOV01,360000.0,360000.0,Null,H
7-D-40,7,D,40,P34822-2,YMSS7LRS5,500.0,500.0,Goodsin,S
6-E-40,6,E,40,P09523-03,YMSS7MR,1800.0,1800.0,PickFace,A
8-E-40,8,E,40,N968120240,IMOV01,360000.0,360000.0,Null,V
4-A-41,4,A,41,SW41007,YMWD-480,748.0,748.0,Goodsin,Z
8-a-41,8,A,41,F162920SW,YMS120S6,13.0,13.0,Null,A
5-A-41,5,A,41,40888,YM300-RET,258.0,258.0,Null,J
7-A-41,7,A,41,SW40537,YPCM30,48.0,48.0,Null,J
8-B-41,8,B,41,SW35865,YMCL30,544.0,544.0,Null,E
7-B-41,7,B,41,F163831,YMS120-RET,138.0,138.0,Goodsin,V
7-C-41,7,C,41,SW091422,YVY30S6,96.0,96.0,PickFace,Q
5-C-41,5,C,41,SWF165068,YMPB30,9900.0,9900.0,PickFace,E
8-C-41,8,C,41,N968111520,IMOV01,360000.0,360000.0,PickFace,P
8-D-41,8,D,41,N968111520,IMOV01,360000.0,360000.0,PickFace,L
S-D-41,S,D,41,F162110,IMOVE6M,1.0,1.0,Null,P
6-E-41,6,E,41,YUMSW072722,YVY30,35.0,35.0,Goodsin,Q
8-E-41,8,E,41,N968111520,IMOV01,360000.0,360000.0,Goodsin,X
5-A-42,5,A,42,SW40823,YUAC,28.0,40.0,Null,A
4-A-42,4,A,42,L108428SW,YSD,120.0,120.0,Goodsin,F
5-A-42,5,A,42,SW40832,YUAC,12.0,40.0,PickFace,L
7-A-42,7,A,42,41039,YM120S6,10.0,10.0,PickFace,Q
7-B-42,7,B,42,F163831,YMS120,194.0,194.0,Goodsin,H
8-C-42,8,C,42,N968120240,IMOV01,360000.0,360000.0,Null,J
5-D-42,5,D,42,103026SW,YSO500,1368.0,1368.0,Null,P
6-D-42,6,D,42,P00623-3,YMSS7LR,1300.0,1300.0,Null,Q
8-E-42,8,E,42,N968120240,IMOV01,360000.0,360000.0,Goodsin,A
6-E-42,6,E,42,P09523-03,YMSS7MR,1520.0,1520.0,Goodsin,T
